DATE,KEYWORD,COUNT,TITLE,LINK
"Mon, 02 Nov 2020 14:00:00 +0000",Zoe Laverne,"10,000+",Megan Barton Hanson sparkles in very daring &#39;disco demon&#39; body ...,https://www.thesun.co.uk/tvandshowbiz/13084045/zoe-laverne-kiss-underage-fan/
"Mon, 02 Nov 2020 04:00:00 +0000",Dawson's Creek,"10,000+","Why Dawson&#39;s Creek, in all its cringey glory, is the TV show 90s kids ...",https://theconversation.com/why-dawsons-creek-in-all-its-cringey-glory-is-the-tv-show-90s-kids-need-right-now-148539
"Sun, 01 Nov 2020 15:00:00 +0000",Man United vs Arsenal,"500,000+",Three Man United players did what Roy Keane expected them to vs ...,https://www.manchestereveningnews.co.uk/sport/football/football-news/man-united-vs-arsenal-highlights-19202599
"Sun, 01 Nov 2020 23:00:00 +0000",US election,"200,000+",US Election 2020: Biden and Trump hit swing states,https://www.bbc.co.uk/news/election-us-2020-54774532
"Sun, 01 Nov 2020 15:00:00 +0000",Bobby Charlton,"100,000+",Tributes flow for Sir Bobby Charlton following dementia diagnosis,https://www.bt.com/sport/news/2020/november/tributes-flow-for-sir-bobby-charlton-following-dementia-diagnosis
"Tue, 03 Nov 2020 14:00:00 +0000",John Sessions,"200,000+",Actor and comedian John Sessions dies aged 67,https://www.theguardian.com/tv-and-radio/2020/nov/03/actor-and-comedian-john-sessions-dies-aged-67
"Tue, 03 Nov 2020 00:00:00 +0000",Ryan Giggs,"200,000+",Ryan Giggs denies assault allegations after arrest,https://www.bbc.co.uk/news/uk-wales-54791144
"Tue, 03 Nov 2020 07:00:00 +0000",Melbourne Cup 2020,"20,000+",Twilight Payment wins Melbourne Cup,https://www.bbc.co.uk/sport/horse-racing/54782125
"Tue, 03 Nov 2020 13:00:00 +0000",Lil Pump,"20,000+",Trump mistakenly calls Lil Pump “Little Pimp” as rapper speaks at ...,https://www.nme.com/news/music/trump-mistakenly-calls-lil-pump-little-pimp-as-rapper-speaks-at-final-rally-2807844
"Tue, 03 Nov 2020 14:00:00 +0000",Luis Troyano,"20,000+",Great British Bake Off star Luis Troyano dies at 48,https://www.bbc.co.uk/news/entertainment-arts-54795842
"Tue, 03 Nov 2020 11:00:00 +0000",Emma Rigby,"10,000+",Luis Troyano dead - Bake Off finalist dies from oesophageal cancer ...,https://www.thesun.co.uk/tvandshowbiz/13093851/eastenders-sid-owen-emma-rigby-breaking-lockdown/
"Tue, 03 Nov 2020 16:00:00 +0000",CNN live,"10,000+",How to watch election coverage live - CNNPolitics,https://www.cnn.com/2020/11/03/politics/how-to-watch-election-coverage-live/index.html
"Mon, 02 Nov 2020 20:00:00 +0000",Leeds United,"200,000+",Leicester City beat Leeds United 4-1 in Premier League,https://www.aa.com.tr/en/sports/leicester-city-beat-leeds-united-4-1-in-premier-league/2029223
"Mon, 02 Nov 2020 21:00:00 +0000",Vienna,"200,000+",Vienna shooting: Arrests after Vienna attacked by &#39;freed jihadist&#39;,https://www.bbc.co.uk/news/world-europe-54798679
"Mon, 02 Nov 2020 11:00:00 +0000",Johnny Depp,"200,000+",Will Hollywood ditch Johnny Depp over High Court &#39;wife-beater ...,https://www.theweek.co.uk/108563/will-hollywood-ditch-johnny-depp-after-ruling
"Mon, 02 Nov 2020 21:00:00 +0000",Liz Carr,"100,000+",Liz Carr: who is the Silent Witness star&#39;s partner?,https://www.hellomagazine.com/film/20201102100125/liz-carr-who-is-silent-witness-star-partner-jo-church/
"Mon, 02 Nov 2020 06:00:00 +0000",US election date,"100,000+",What if there&#39;s no election result on 3 November? Experts explain ...,https://www.theguardian.com/us-news/2020/nov/02/what-us-election-day-will-look-like-2020
"Mon, 02 Nov 2020 10:00:00 +0000",NS&I,"100,000+",Premium Bonds winners November 2020: Winning NS&amp;I numbers ...,https://inews.co.uk/news/consumer/premium-bonds-winners-november-2020-ns-and-i-numbers-prize-checker-won-check-744952
"Mon, 02 Nov 2020 13:00:00 +0000",Kahoot,"50,000+",Kahoot Zapp Adds Zoom Integration -- THE Journal,https://thejournal.com/articles/2020/11/02/kahoot-zapp-adds-zoom-integration.aspx
"Mon, 02 Nov 2020 09:00:00 +0000",Microsoft Teams,"50,000+",Microsoft Teams meetings will soon support 1000 participants,https://www.cloudpro.co.uk/collaboration/8813/microsoft-teams-meetings-will-soon-support-1000-participants
"Mon, 02 Nov 2020 18:00:00 +0000",Fulham vs West Brom,"50,000+",Fulham win to move out of bottom three,https://www.bbc.co.uk/sport/football/54687123
"Mon, 02 Nov 2020 21:00:00 +0000",Don't Rock the Boat,"20,000+",Don&#39;t Rock the Boat review – all aboard for the vomit Olympics!,https://www.theguardian.com/tv-and-radio/2020/nov/02/dont-rock-the-boat-review-all-aboard-for-the-vomit-olympics
"Mon, 02 Nov 2020 05:00:00 +0000",Robert Fisk,"20,000+",Robert Fisk: The outstanding and truth-telling journalist who ...,https://www.independent.co.uk/news/obituaries/robert-fisk-obituary-died-journalist-middle-east-b1538618.html
"Mon, 02 Nov 2020 20:00:00 +0000",Kate Garraway,"20,000+",Kate Garraway breaks silence after heartbreaking GMB interview,https://www.hellomagazine.com/celebrities/20201103100144/kate-garraway-thanks-fans-heartbreaking-gmb-interview/
"Wed, 04 Nov 2020 00:00:00 +0000",Jo Jorgensen,"100,000+",Maybe Jo Jorgensen Finishing With 1% Would Actually Be Pretty ...,https://reason.com/2020/11/03/maybe-jo-jorgensen-finishing-with-1-would-actually-be-pretty-good/
"Wed, 04 Nov 2020 00:00:00 +0000",New York Times,"100,000+","In France, Shopowners Revolt Against New Closing Order",https://www.nytimes.com/2020/11/03/business/france-shopkeepers-lockdown.html
"Wed, 04 Nov 2020 07:00:00 +0000",Sky News live,"50,000+",Coronavirus: Children do not increase risk to adults they live with ...,https://news.sky.com/story/coronavirus-children-do-not-increase-risk-to-adults-they-live-with-new-research-shows-12122573
"Wed, 04 Nov 2020 06:00:00 +0000",Republican Party,"50,000+",US election 2020: Democratic hopes of winning Senate fade after ...,https://www.ft.com/content/eb89ab18-8431-47de-8eb2-6d42194c3694
"Wed, 04 Nov 2020 11:00:00 +0000",Amanda Knox,"50,000+",US election 2020: Amanda Knox sparks backlash by joking about ...,https://news.sky.com/story/us-election-2020-amanda-knox-sparks-backlash-by-joking-about-her-prison-time-in-italy-12123358
